price_usd,created_at
415.67,2025-01-14 23:00:21.575469
415.67,2025-01-14 22:10:28.334794
415.67,2025-01-14 21:05:22.866443
412.42,2025-01-14 20:05:20.624394
417.18,2025-01-14 19:00:21.184350
415.0,2025-01-14 18:00:20.065228
414.3,2025-01-14 17:00:22.797869
416.08,2025-01-14 16:00:21.209111
416.97,2025-01-14 15:00:18.690214
417.19,2025-01-14 14:00:21.087361
417.19,2025-01-14 13:00:20.779978
417.19,2025-01-14 12:00:23.955363
417.19,2025-01-14 11:00:15.439807
417.19,2025-01-14 10:53:09.252999
417.19,2025-01-14 10:50:16.980944
417.19,2025-01-14 10:49:53.792854
417.19,2025-01-14 10:26:08.873616
417.19,2025-01-14 10:25:40.389824
417.19,2025-01-14 10:21:06.319546
