price_usd,created_at
428.22,2025-01-15 23:00:15.277712
428.19,2025-01-15 21:00:17.023680
424.82,2025-01-15 20:05:16.578403
420.5,2025-01-15 19:10:20.923571
417.06,2025-01-15 17:10:20.151118
413.71,2025-01-15 16:00:17.803330
396.36,2025-01-15 12:05:18.731134
396.36,2025-01-15 11:00:21.699581
396.36,2025-01-15 10:00:24.008578
396.36,2025-01-15 09:00:30.172235
396.36,2025-01-15 08:52:58.965261
396.36,2025-01-15 08:51:42.769395
396.36,2025-01-15 07:10:27.503716
396.36,2025-01-15 06:00:25.718811
396.36,2025-01-15 03:00:09.392321
396.36,2025-01-15 02:47:34.922453
396.36,2025-01-15 02:05:21.559434
396.36,2025-01-15 01:00:29.525086
396.36,2025-01-15 00:01:10.602529
